,Title,User Rank,User Rating,Popularity Ranking,Episode Count,Episode Runtime,Airdate,Time to Watch,Studios,Genres,Status
0,Fullmetal Alchemist: Brotherhood,#1,9.191,"2,265,241",64,24 min. per ep.,"Apr 5, 2009 to Jul 4, 2010","1 day, 1 hour, 36 minutes",['Bones'],"['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",Finished Airing
1,Shingeki no Kyojin: The Final Season,#2,9.161,"775,481",16,23 min. per ep.,"Dec 7, 2020 to ?","6 hours, 8 minutes",['MAPPA'],"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",Currently Airing
2,Shingeki no Kyojin Season 3 Part 2,#3,9.111,"1,110,912",10,23 min. per ep.,"Apr 29, 2019 to Jul 1, 2019","3 hours, 50 minutes",['Wit Studio'],"['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']",Finished Airing
3,Steins;Gate,#4,9.111,"1,795,409",24,24 min. per ep.,"Apr 6, 2011 to Sep 14, 2011","9 hours, 36 minutes",['White Fox'],"['Thriller', 'Sci-Fi']",Finished Airing
4,Gintama°,#5,9.101,"409,268",51,24 min. per ep.,"Apr 8, 2015 to Mar 30, 2016","20 hours, 24 minutes",['Bandai Namco Pictures'],"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Finished Airing
5,Hunter x Hunter (2011),#6,9.091,"1,705,864",148,23 min. per ep.,"Oct 2, 2011 to Sep 24, 2014","2 days, 8 hours, 44 minutes",['Madhouse'],"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power']",Finished Airing
6,Ginga Eiyuu Densetsu,#7,9.071,"231,729",110,26 min. per ep.,"Jan 8, 1988 to Mar 17, 1997","1 day, 23 hours, 40 minutes","['Artland', '      Magic Bus ']","['Military', 'Sci-Fi', 'Space', 'Drama']",Finished Airing
7,Gintama',#14,8.961,"763,162",201,24 min. per ep.,"Apr 4, 2006 to Mar 25, 2010","3 days, 8 hours, 24 minutes",['Sunrise'],"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Finished Airing
8,Gintama': Enchousen,#9,9.041,"224,234",13,24 min. per ep.,"Oct 4, 2012 to Mar 28, 2013","5 hours, 12 minutes",['Sunrise'],"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",Finished Airing
9,3-gatsu no Lion 2nd Season,#10,9.001,"269,451",22,25 min. per ep.,"Oct 14, 2017 to Mar 31, 2018","9 hours, 10 minutes",['Shaft'],"['Drama', 'Game', 'Seinen', 'Slice of Life']",Finished Airing
